ticker,country,complete,completion_pct,missing
RCL,US,OUI,100,
RDDT,US,non,80,ir_page_snapshot
REG,US,non,80,ir_page_snapshot
REGN,US,non,80,ir_page_snapshot
REL.L,UK,OUI,100,
RF,US,non,80,ir_page_snapshot
RI.PA,EU,OUI,100,
RIVN,US,OUI,100,
RJF,US,non,60,ir_page_snapshot|home_page_snapshot
RL,US,non,60,ir_page_snapshot|home_page_snapshot
RMD,US,non,80,ir_page_snapshot
ROG.SW,EU,OUI,100,
ROK,US,OUI,100,
ROL,US,OUI,100,
ROP,US,non,60,ir_page_snapshot|home_page_snapshot
ROST,US,non,80,ir_page_snapshot
RRC,US,non,80,ir_page_snapshot
RS,US,non,80,ir_page_snapshot
RSG,US,non,80,home_page_snapshot
RTX,US,OUI,100,
RVTY,US,non,60,ir_page_snapshot|home_page_snapshot
RXL.PA,EU,OUI,100,
SAMPO.HE,EU,non,67,ir_page_snapshot
SAND.ST,EU,OUI,100,
SAP,FPI,non,33,ir_page_snapshot|home_page_snapshot
SATS,US,non,80,ir_page_snapshot
SBAC,US,non,60,ir_page_snapshot|home_page_snapshot
SBRY.L,UK,OUI,100,
SBUX,US,non,80,ir_page_snapshot
SCHW,US,non,60,ir_page_snapshot|home_page_snapshot
SCI,US,non,60,ir_page_snapshot|home_page_snapshot
SGSN.SW,EU,OUI,100,
SHL.DE,EU,OUI,100,
SHOP,FPI,OUI,100,
SHW,US,non,80,ir_page_snapshot
SIE.DE,EU,OUI,100,
SJM,US,non,80,ir_page_snapshot
SLB,US,non,80,ir_page_snapshot
SLHN.SW,EU,non,33,ir_page_snapshot|home_page_snapshot
SMCI,US,non,60,ir_page_snapshot|home_page_snapshot
SMTC,US,OUI,100,
SNA,US,OUI,100,
SNAP,US,non,60,proxy_statement|ir_page_snapshot
SNDK,US,non,80,ir_page_snapshot
SNPS,US,non,80,ir_page_snapshot
SO,US,non,80,ir_page_snapshot
SOFI,US,non,60,ir_page_snapshot|home_page_snapshot
SOLV,US,non,80,ir_page_snapshot
SOON.SW,EU,OUI,100,
SPG,US,non,60,ir_page_snapshot|home_page_snapshot
SPGI,US,non,60,ir_page_snapshot|home_page_snapshot
SPM.MI,EU,OUI,100,
SRE,US,OUI,100,
STE,US,non,80,ir_page_snapshot
STLD,US,non,80,ir_page_snapshot
STT,US,non,80,ir_page_snapshot
STX,US,non,60,ir_page_snapshot|home_page_snapshot
STZ,US,non,80,ir_page_snapshot
SW,US,non,80,ir_page_snapshot
SWK,US,non,60,ir_page_snapshot|home_page_snapshot
SWKS,US,OUI,100,
SYF,US,non,80,ir_page_snapshot
SYK,US,OUI,100,
SYY,US,OUI,100,
T,US,OUI,100,
TAP,US,OUI,100,
TD,FPI,OUI,100,
TDG,US,non,60,ir_page_snapshot|home_page_snapshot
TDY,US,OUI,100,
TECH,US,non,60,ir_page_snapshot|home_page_snapshot
TEL,US,non,60,ir_page_snapshot|home_page_snapshot
TEL2-B.ST,EU,non,67,ir_page_snapshot
TER,US,OUI,100,
TFC,US,OUI,100,
TGT,US,OUI,100,
TJX,US,non,60,ir_page_snapshot|home_page_snapshot
TKO,US,non,80,ir_page_snapshot
TMO,US,non,80,ir_page_snapshot
TMUS,US,non,60,ir_page_snapshot|home_page_snapshot
TPL,US,OUI,100,
TPR,US,OUI,100,
TRGP,US,non,60,ir_page_snapshot|home_page_snapshot
TRMB,US,OUI,100,
TROW,US,non,80,ir_page_snapshot
TRV,US,non,80,ir_page_snapshot
TSCO,US,non,60,ir_page_snapshot|home_page_snapshot
TSLA,US,non,60,ir_page_snapshot|home_page_snapshot
TSN,US,OUI,100,
TT,US,non,80,ir_page_snapshot
TTD,US,OUI,100,
TTE.PA,EU,OUI,100,
TTWO,US,non,80,ir_page_snapshot
TXN,US,non,80,ir_page_snapshot
TXT,US,non,80,ir_page_snapshot
TYL,US,OUI,100,
UAL,US,non,60,ir_page_snapshot|home_page_snapshot
UBER,US,non,80,ir_page_snapshot
UDR,US,OUI,100,
UHS,US,non,60,ir_page_snapshot|home_page_snapshot
UL,FPI,non,33,ir_page_snapshot|home_page_snapshot
ULTA,US,OUI,100,
UNH,US,OUI,100,
UNI.MI,EU,non,67,ir_page_snapshot
UNM,US,OUI,100,
UNP,US,non,80,ir_page_snapshot
UPM.HE,EU,OUI,100,
UPS,US,non,60,ir_page_snapshot|home_page_snapshot
URI,US,non,60,ir_page_snapshot|home_page_snapshot
URW.PA,EU,OUI,100,
USB,US,non,80,ir_page_snapshot
